Date,AGG,DBC,VTI,^VIX
2016-04-13,89.85443878173828,12.629892349243164,92.14500427246094,13.84000015258789
2016-04-14,89.70037841796875,12.528631210327148,92.11026763916016,13.720000267028809
2016-04-15,89.95169830322266,12.482604026794434,92.06684112548828,13.619999885559082
2016-04-18,89.943603515625,12.537836074829102,92.68317413330078,13.350000381469727
2016-04-19,89.93550109863281,12.804794311523438,92.94361114501953,13.239999771118164
2016-04-20,89.71661376953125,13.053342819213867,93.03912353515625,13.279999732971191
2016-04-21,89.59498596191406,12.998109817504883,92.57903289794922,13.949999809265137
2016-04-22,89.60305786132812,12.942876815795898,92.70923614501953,13.220000267028809
2016-04-25,89.5058364868164,12.933671951293945,92.4835433959961,14.079999923706055
2016-04-26,89.46526336669922,13.099369049072266,92.73527526855469,13.960000038146973
2016-04-27,89.73281860351562,13.219040870666504,92.96096801757812,13.770000457763672
2016-04-28,89.91117858886719,13.292683601379395,92.12761688232422,15.220000267028809
2016-04-29,89.90306091308594,13.421561241149902,91.58943176269531,15.699999809265137
2016-05-02,89.84215545654297,13.237451553344727,92.3012466430664,14.680000305175781
2016-05-03,90.00460815429688,13.034931182861328,91.37244415283203,15.600000381469727
2016-05-04,90.04521179199219,13.044137001037598,90.83421325683594,16.049999237060547
2016-05-05,90.27262878417969,12.915260314941406,90.79950714111328,15.90999984741211
2016-05-06,90.13457489013672,12.998109817504883,91.12935638427734,14.720000267028809
2016-05-09,90.1914291381836,12.712739944458008,91.22484588623047,14.569999694824219
2016-05-10,90.23202514648438,13.025725364685059,92.3099136352539,13.630000114440918
2016-05-11,90.23202514648438,13.329505920410156,91.46790313720703,14.6899995803833
2016-05-12,90.15079498291016,13.347917556762695,91.43318176269531,14.40999984741211
2016-05-13,90.32136535644531,13.329505920410156,90.64322662353516,15.039999961853027
2016-05-16,90.16705322265625,13.476794242858887,91.5460205078125,14.680000305175781
2016-05-17,90.04521179199219,13.57805347442627,90.72136688232422,15.569999694824219
